sequence_number	US	source_a	source_c	source_b	source_d	source_e	source_m	source_o	source_h	source_r	source_s	source_t	source_u	source_p	source_x	source_w	Freq	last_update_days_ago	1st_update_days_ago	Web order	Gender=male	Address_is_res	Purchase	Spending
261	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3528	3528	1	1	0	0	0
262	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2960	2999	0	0	0	1	129.5
263	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1882	3883	1	0	0	1	210.35
264	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2737	2737	0	1	1	0	0
265	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2163	2228	0	0	0	1	107
266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1683	1683	0	0	0	1	84.95
267	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	800	2640	1	1	0	1	1294
268	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	304	311	1	0	0	1	303
269	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	1134	3566	1	0	0	1	270.71
270	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1361	1361	0	0	0	1	1250
271	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1204	1262	0	0	0	1	80.57
272	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	4065	4065	0	0	0	1	32.14
273	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	616	616	1	0	1	0	0
274	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1415	1428	0	1	1	0	0.06
275	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2705	2705	0	1	0	0	0
276	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	107	107	1	1	0	1	129
277	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2009	2065	0	1	0	1	162.55
278	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	833	833	0	1	0	0	0
279	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	1086	2710	0	1	1	1	135.06
280	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	1879	1953	0	0	0	1	164.12
281	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	744	744	1	0	0	0	0
282	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1786	1835	1	0	0	1	95.05
283	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	1129	2348	0	0	0	1	279.5
284	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1899	2233	0	0	1	1	165.99
285	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	301	301	0	1	0	0	0
286	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1162	1162	1	0	1	1	163.5
287	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2735	2735	0	1	0	0	0
288	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2478	2478	0	0	0	1	135.5
289	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	7	7	0	1	0	1	129
290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1130	1147	0	0	0	1	308.95
291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1035	1035	1	1	1	0	0
292	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2891	3166	1	0	1	1	143.07
293	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2599	2599	1	0	0	1	129.5
294	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1415	2296	0	1	1	0	0.13
295	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1120	3122	1	1	0	1	199.57
296	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	833	833	0	1	0	0	0
297	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	283	640	0	0	0	1	405
298	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1752	1774	1	1	0	0	0.06
299	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3025	3025	1	0	0	1	152.52
300	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1175	2299	0	0	0	1	43.57
301	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3791	3791	1	1	0	1	87.55
302	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2767	2767	1	0	0	1	124
303	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1690	1690	0	0	0	1	89.5
304	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1666	1666	0	0	0	1	164.75
305	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2793	2793	1	0	0	1	169.95
306	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	512	512	0	0	1	0	0.06
307	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3914	3914	0	0	0	0	0
308	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1290	1290	0	0	0	1	112.4
309	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1626	1626	0	0	0	1	164.95
310	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1968	1968	1	0	0	1	255
311	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2305	3745	1	0	0	1	59.5
312	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1505	1505	0	1	0	0	0
313	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	526	1779	1	0	1	1	426.5
314	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3394	3394	0	1	0	0	0
315	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1991	1991	0	1	0	1	260.5
316	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3453	3453	0	1	0	0	0.07
317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	408	2604	0	0	1	1	188
318	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2102	2102	1	1	0	1	160.5
319	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	2100	3944	0	1	0	1	204.43
320	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	3398	3522	1	0	0	1	192.07
321	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3479	3975	0	0	1	1	189.45
322	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	441	441	1	1	0	0	0
323	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	520	1008	1	1	0	1	211.5
324	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2194	2241	0	1	1	1	29.56
325	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	217	4065	1	1	0	0	0.07
326	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3401	3401	0	1	0	0	0
327	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1582	1603	1	0	1	1	3.45
328	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2380	2380	1	1	0	0	0
329	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3522	3522	0	0	0	0	0
330	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	868	868	1	0	0	0	0
331	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2758	2758	1	0	0	1	160.5
332	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	2481	3359	1	1	0	1	618.78
333	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3522	3522	0	0	0	0	0
334	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2943	2943	0	1	0	0	0
335	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2404	2404	0	1	0	1	113.5
336	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2278	2278	1	1	0	0	0.07
337	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1710	1710	1	0	0	0	0
338	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	833	833	0	0	0	0	0
339	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2529	2529	0	0	0	0	0
340	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	868	868	0	1	0	0	0
341	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	916	919	1	0	1	1	43.06
342	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2539	2539	0	1	0	0	0
343	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2299	2299	0	1	0	0	0.07
344	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1864	1864	0	0	0	1	29.5
345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	295	302	0	0	0	1	164
346	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1128	3746	0	1	0	1	247.5
347	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	492	1792	1	1	1	1	139.06
348	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3334	3334	0	1	0	0	0.08
349	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2962	3244	1	1	0	1	96.02
350	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4157	4157	0	1	0	1	97.79
351	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	891	891	1	1	0	1	80.5
352	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2065	3822	0	1	0	1	197.45
353	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1346	1378	0	1	1	0	0.06
354	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2054	2404	1	1	0	1	25
355	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1134	3464	0	0	1	1	314.07
356	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2831	2831	1	1	0	0	0
357	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	681	714	0	0	1	0	0.06
358	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3185	3185	0	1	1	0	0
359	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3548	3548	0	0	0	0	0.08
360	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	304	304	0	1	1	0	0
361	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3382	3425	0	0	0	0	0.07
362	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	841	2088	1	1	1	1	50.06
363	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2744	2744	1	0	0	0	0
364	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2073	2073	0	0	0	0	0.07
365	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3655	3655	0	1	0	1	35.07
366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1463	1463	1	1	0	0	0
367	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3011	3011	0	1	0	0	0
368	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2802	2802	1	1	0	1	160.5
369	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	2016	2424	1	0	0	1	1353
370	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	430	2772	1	1	0	1	1184
371	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3146	3146	1	0	0	1	10
372	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3507	3507	0	0	0	0	0
373	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1536	1709	0	1	0	1	1500.06
374	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3248	3248	0	0	1	1	132.25
375	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3095	3095	0	0	0	0	0
376	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3235	3235	1	1	1	1	110
377	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1031	3388	0	1	0	1	190.5
378	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	2201	2254	0	0	0	1	99.45
379	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2529	2529	1	0	0	1	34.5
380	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3129	3262	0	1	0	1	216.97
381	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	3283	3306	1	0	0	1	128.07
382	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1646	1715	1	0	1	0	0.06
383	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3401	3401	0	0	0	0	0
384	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	479	2578	0	0	0	1	459
385	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1192	1192	1	1	0	1	43.5
386	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	314	314	0	1	0	1	149
387	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	506	1785	1	1	0	1	281.5
388	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2072	2102	0	0	0	1	104.55
389	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2618	2618	1	1	1	1	6
390	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	9	9	0	1	1	1	195.95
391	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3278	3278	1	0	0	1	152.52
392	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	217	217	0	0	1	0	0
393	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1529	1619	0	1	1	1	424.13
394	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3583	4188	0	0	0	1	205.16
395	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1856	1883	0	0	1	0	0.06
396	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2632	2632	0	1	0	0	0
397	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1415	1436	0	1	1	0	0.06
398	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1249	1249	0	0	0	0	0
399	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3159	3159	1	0	0	0	0
400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	458	827	1	1	0	1	114
401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	864	1248	0	1	0	1	163
402	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3747	3747	0	0	0	0	0
403	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	3975	4157	1	1	0	1	170.43
404	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2044	2081	1	1	1	1	135.56
405	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1646	1708	0	1	1	1	83.01
406	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1709	1709	0	0	0	0	0
407	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2404	2404	0	0	0	1	113.5
408	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2765	2765	0	0	0	0	0
409	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	906	906	1	0	1	1	140.5
410	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1498	1536	1	0	1	1	39.56
411	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2891	2891	0	1	0	0	0
412	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2744	2758	1	0	0	1	85.57
413	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1646	1682	0	1	1	0	0.06
414	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1240	1240	0	0	0	0	0
415	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2802	2802	0	1	0	0	0
416	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	534	534	0	1	1	0	0
417	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1346	1386	0	0	1	0	0.06
418	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1842	2737	1	1	1	1	169.06
419	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1780	1808	0	0	1	0	0.06
420	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	247	2361	0	0	0	1	323.5
421	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2919	2919	0	1	1	0	0.07
422	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2735	2735	0	1	0	0	0
423	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	758	758	0	1	0	1	83
424	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	1122	3791	0	0	0	1	274.28
425	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1137	3125	0	0	1	1	287
426	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	644	644	0	1	1	0	0.06
427	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	1794	2291	1	1	1	1	258.96
428	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3125	3125	1	0	0	1	102.67
429	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	974	974	0	0	0	0	0.07
430	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3747	3747	0	1	0	0	0
431	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	216	3125	1	0	0	1	133.5
432	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1498	2831	0	1	1	1	209.34
433	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1739	3278	0	1	0	1	226.07
434	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	345	345	1	1	0	0	0
435	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1801	1823	1	1	0	0	0.06
436	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	216	216	1	1	0	0	0.07
437	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1130	1779	0	0	0	1	252
438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1612	1612	0	0	0	1	42.5
439	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1568	2935	1	0	0	1	343.5
440	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2102	2102	1	1	0	1	53.5
441	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2863	2863	0	0	0	0	0.07
442	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	535	535	0	1	1	1	149
443	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3430	3430	0	0	0	0	0.08
444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1207	1207	0	1	0	0	0
445	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	486	486	0	1	0	1	29.5
446	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3262	3262	1	1	0	1	157.95
447	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2249	2249	0	0	0	1	54.46
448	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	2647	3689	0	1	0	1	1255
449	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3593	3593	0	1	0	1	97.6
450	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1890	2361	0	0	0	1	84.5
451	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3306	3306	0	0	0	0	0
452	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3747	3747	0	0	0	0	0
453	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	4188	4188	1	1	0	1	136.95
454	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2772	2772	1	0	0	1	135
455	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1261	2137	0	0	0	1	43.5
456	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	827	827	1	1	0	1	163
457	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	3590	4005	1	0	0	1	116.29
458	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1120	3157	1	0	1	1	172.1
459	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1570	3746	1	0	0	1	104
460	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1253	3541	0	1	0	0	0.14
461	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2977	2978	0	0	0	1	69.5
462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	458	583	1	0	0	1	271
463	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1962	1981	1	1	1	0	0.06
464	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3255	3255	1	1	0	0	0
465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1091	1091	0	0	0	0	0
466	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1010	1010	0	0	0	0	0.07
467	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2991	2991	1	0	1	1	183.5
468	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2740	2740	0	0	0	0	0
469	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2728	2728	1	1	0	0	0
470	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	4065	4065	0	1	0	0	0
471	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2102	2102	1	0	0	1	160.5
472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	220	220	0	1	0	0	0
473	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	216	216	0	1	0	0	0.07
474	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2950	3061	0	1	0	0	0.07
475	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	23	217	0	1	0	0	0.06
476	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2999	2999	1	0	0	1	33.5
477	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	463	2432	1	1	0	1	321.5
478	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	743	743	0	0	0	0	0
479	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	700	700	1	1	1	0	0.06
480	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	197	3395	1	0	0	0	0.14
481	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	301	1036	0	0	0	1	1249
482	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2905	2905	1	0	0	0	0
483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	665	665	0	1	1	0	0.06
484	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	308	308	0	1	0	1	40
485	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2735	2735	0	0	0	0	0
486	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2415	2415	1	1	0	1	34.5
487	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	113	113	1	0	0	1	308
488	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	1653	1934	1	0	1	1	192.13
489	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3507	3507	0	1	0	0	0
490	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1708	1800	1	1	0	1	122.45
491	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3822	3822	0	1	0	0	0.07
492	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1976	2129	0	0	0	1	43.07
493	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	240	2900	0	0	1	1	587.56
494	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2481	3654	1	0	0	1	159.57
495	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2877	2877	0	1	0	0	0
496	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2812	3944	0	0	0	1	182.9
497	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1227	1227	0	1	0	0	0
498	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	2052	2837	0	0	0	1	200
499	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2746	3047	1	0	1	1	181.62
500	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2236	2236	0	0	0	0	0.07
501	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	216	216	0	1	0	0	0
502	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1451	1451	0	0	0	0	0
503	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3353	3353	1	1	0	0	0
504	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	206	206	0	0	0	0	0.07
505	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2962	3244	1	1	0	1	95.4
506	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3655	3655	0	1	0	0	0.08
507	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3107	3107	0	0	0	0	0
508	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3549	3549	1	1	0	1	228.82
509	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1710	1710	0	1	0	0	0
510	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	196	196	0	1	0	0	0.07
511	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3020	3020	1	0	0	1	128.5
512	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3747	3747	0	1	0	0	0
513	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2767	2767	1	1	0	0	0
514	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3747	3747	1	0	0	0	0
515	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2730	2730	0	0	0	0	0
516	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1592	1683	1	1	1	1	29.69
517	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	681	681	1	0	1	0	0
518	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	3718	3718	0	0	0	1	97.74
519	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1379	1400	0	0	1	1	63.06
520	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	148	1113	0	1	1	1	213.9
521	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3353	3353	1	1	0	0	0
522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	206	206	1	0	0	1	264
523	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2781	2781	0	0	0	0	0
